 51  3  3834
   1     308.0     496.0        6253        2556       .30
   2     174.0     288.0   52  104    0   52       .48
   3     305.0     439.0   34   68    0   34       .37
   4      74.0     400.0   96  144    0   48       .40
   5      36.0     268.0   38   57    0   19       .49
   6     495.0     324.0   94  141    0   47       .33
   7      16.0      46.0   74  111    0   37       .26
   8     477.0     217.0   36   72    0   36       .25
   9     330.0     146.0   56   84    0   28       .25
  10     224.0     339.0   90  180    0   90       .12
  11     318.0      48.0   17   34    0   17       .30
  12     361.0     425.0   52  104    0   52       .33
  13     372.0      25.0   22   33    0   11       .47
  14     130.0     397.0   54   81    0   27       .11
  15     396.0     130.0   64   96    0   32       .34
  16     191.0     212.0  122  183    0   61       .46
  17     220.0     154.0  124  186    0   62       .15
  18     456.0     467.0   77  154    0   77       .19
  19     364.0     284.0   90  180    0   90       .30
  20     118.0     382.0   96  192    0   96       .10
  21      44.0     432.0   92  138    0   46       .31
  22     214.0      65.0   70  140    0   70       .34
  23     403.0     480.0   12   24    0   12       .37
  24     147.0     295.0  102  153    0   51       .47
  25      68.0      26.0  196  294    0   98       .25
  26      98.0     247.0   54  108    0   54       .42
  27     213.0     329.0  194  291    0   97       .40
  28     263.0     242.0  146  219    0   73       .35
  29     304.0     284.0   38   76    0   38       .29
  30     280.0     134.0   50   75    0   25       .11
  31     255.0     475.0  110  165    0   55       .22
  32     220.0     274.0   71  142    0   71       .45
  33     287.0     228.0  102  153    0   51       .45
  34     315.0     193.0   44   88    0   44       .27
  35     496.0     133.0  104  156    0   52       .13
  36     212.0     251.0   49   98    0   49       .44
  37     307.0     412.0  100  150    0   50       .49
  38     183.0      68.0   54   81    0   27       .38
  39     351.0      89.0   24   36    0   12       .39
  40     331.0       5.0   54   81    0   27       .48
  41     342.0     263.0   95  190    0   95       .26
  42     222.0     337.0   82  123    0   41       .29
  43     249.0     433.0   97  194    0   97       .37
  44     131.0     270.0  128  192    0   64       .34
  45     127.0     491.0   92  184    0   92       .32
  46     473.0      89.0   54  108    0   54       .17
  47     281.0     370.0   11   22    0   11       .48
  48     327.0     334.0   12   24    0   12       .32
  49     460.0      33.0   28   56    0   28       .17
  50     416.0     307.0   83  166    0   83       .14
  51     390.0     316.0   61  122    0   61       .50
