11  3	 952
   1     444.0     237.0        1583         635       .30
   2     152.0     180.0   87  174    0   87       .23
   3     230.0     141.0   14   28    0   14       .32
   4     134.0     163.0  172  258    0   86       .33
   5     459.0     282.0   75  150    0   75       .23
   6     269.0     455.0   84  126    0   42       .18
   7      79.0     326.0   69  138    0   69       .29
   8       5.0     235.0  158  237    0   79       .42
   9      51.0     412.0   86  129    0   43       .42
  10     310.0     113.0   77  154    0   77       .24
  11     312.0     266.0  126  189    0   63       .43
